"Stream Name","Site Name","UTC(yyyy/MM/dd HH:mm:ss)","Local(yyyy/MM/dd HH:mm:ss)","Sample Value","Local Time Zone Name"
"Level","A07_M2-9","2024/05/26 15:08:00","2024/05/27 00:08:00","19.6","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 15:18:00","2024/05/27 00:18:00","19.1","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 15:28:00","2024/05/27 00:28:00","18.4","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 15:38:00","2024/05/27 00:38:00","17.7","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 15:48:00","2024/05/27 00:48:00","17.1","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 15:58:00","2024/05/27 00:58:00","15.9","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 16:08:00","2024/05/27 01:08:00","16.1","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 16:18:00","2024/05/27 01:18:00","15.1","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 16:28:00","2024/05/27 01:28:00","14.3","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 16:38:00","2024/05/27 01:38:00","13.5","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 16:48:00","2024/05/27 01:48:00","13.3","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 16:58:00","2024/05/27 01:58:00","12.0","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 17:08:00","2024/05/27 02:08:00","12.2","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 17:18:00","2024/05/27 02:18:00","11.5","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 17:28:00","2024/05/27 02:28:00","11.0","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 17:38:00","2024/05/27 02:38:00","10.8","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 17:48:00","2024/05/27 02:48:00","10.7","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 17:58:00","2024/05/27 02:58:00","10.7","Asia/Seoul"
"Level","A07_M2-9","2024/05/26 18:08:00","2024/05/27 03:08:00","10.2","Asia/Seoul"
