hour_minute,count,mean,std,min,25%,50%,75%,max,IQR,lower_bound,upper_bound
00:08,5.0,21.4,0.37416573867739417,20.9,21.2,21.5,21.5,21.9,0.3000000000000007,20.75,21.950000000000003
00:18,5.0,20.5,0.4690415759823428,20.0,20.2,20.4,20.7,21.2,0.5,19.45,21.45
00:28,5.0,19.839999999999996,0.5813776741499458,18.9,19.9,19.9,20.0,20.5,0.10000000000000142,19.749999999999996,20.150000000000002
00:38,5.0,18.859999999999996,0.44497190922573976,18.2,18.6,19.1,19.2,19.2,0.5999999999999979,17.700000000000003,20.099999999999994
00:48,5.0,18.059999999999995,0.15165750888103152,17.9,17.9,18.1,18.2,18.2,0.3000000000000007,17.449999999999996,18.65
00:58,5.0,17.279999999999998,0.3033150177620619,16.9,17.1,17.3,17.4,17.7,0.29999999999999716,16.650000000000006,17.849999999999994
01:08,5.0,16.68,0.5674504383644429,16.1,16.1,16.9,16.9,17.4,0.7999999999999972,14.900000000000006,18.099999999999994
01:18,5.0,16.0,0.5147815070493498,15.3,15.8,15.9,16.4,16.6,0.5999999999999979,14.900000000000004,17.299999999999997
01:28,5.0,15.280000000000001,0.5357238094391549,14.8,14.8,15.1,15.8,15.9,1.0,13.3,17.3
01:38,5.0,14.959999999999999,0.15165750888103047,14.8,14.8,15.0,15.1,15.1,0.29999999999999893,14.350000000000001,15.549999999999997
01:48,5.0,13.879999999999999,0.2167948338867878,13.6,13.8,13.8,14.1,14.1,0.29999999999999893,13.350000000000001,14.549999999999997
01:58,5.0,13.279999999999998,0.4919349550499535,12.8,13.1,13.1,13.3,14.1,0.20000000000000107,12.799999999999997,13.600000000000001
02:08,5.0,13.02,0.5069516742254627,12.3,12.8,13.0,13.5,13.5,0.6999999999999993,11.750000000000002,14.549999999999999
02:18,5.0,12.580000000000002,0.47116875957558974,11.8,12.5,12.8,12.8,13.0,0.3000000000000007,12.049999999999999,13.250000000000002
02:28,5.0,12.02,0.4494441010848849,11.7,11.8,11.8,12.0,12.8,0.1999999999999993,11.500000000000002,12.299999999999999
02:38,5.0,11.64,0.3049590136395384,11.2,11.5,11.7,11.8,12.0,0.3000000000000007,11.049999999999999,12.250000000000002
02:48,5.0,11.3,0.41231056256176607,11.0,11.0,11.2,11.3,12.0,0.3000000000000007,10.549999999999999,11.750000000000002
02:58,5.0,11.080000000000002,0.4549725266430936,10.7,10.7,11.0,11.2,11.8,0.5,9.95,11.95
03:08,5.0,10.66,0.5683308895353129,10.2,10.3,10.3,11.0,11.5,0.6999999999999993,9.250000000000002,12.049999999999999
03:18,5.0,10.559999999999999,0.21908902300206642,10.2,10.5,10.7,10.7,10.7,0.1999999999999993,10.200000000000001,10.999999999999998
03:28,5.0,10.419999999999998,0.3114482300479485,10.0,10.2,10.5,10.7,10.7,0.5,9.45,11.45
03:38,5.0,9.959999999999999,0.27928480087537916,9.7,9.7,9.9,10.2,10.3,0.5,8.95,10.95
03:48,5.0,9.819999999999999,0.4494441010848846,9.2,9.5,10.0,10.2,10.2,0.6999999999999993,8.450000000000001,11.249999999999998
03:58,5.0,9.779999999999998,0.23874672772626646,9.4,9.7,9.9,9.9,10.0,0.20000000000000107,9.399999999999999,10.200000000000003
04:08,5.0,9.76,0.33615472627943194,9.4,9.5,9.7,10.0,10.2,0.5,8.75,10.75
04:18,5.0,9.299999999999999,0.14142135623730995,9.2,9.2,9.2,9.4,9.5,0.20000000000000107,8.899999999999999,9.700000000000003
04:28,5.0,9.28,0.3114482300479485,9.0,9.0,9.2,9.5,9.7,0.5,8.25,10.25
04:38,5.0,9.219999999999999,0.2774887385102321,8.9,9.0,9.2,9.5,9.5,0.5,8.25,10.25
04:48,5.0,9.38,0.4764451699828641,8.7,9.2,9.5,9.5,10.0,0.3000000000000007,8.749999999999998,9.950000000000001
04:58,5.0,9.180000000000001,0.22803508501982764,8.9,9.0,9.2,9.4,9.4,0.40000000000000036,8.399999999999999,10.0
05:08,5.0,9.319999999999999,0.3898717737923587,8.7,9.2,9.5,9.5,9.7,0.3000000000000007,8.749999999999998,9.950000000000001
05:18,5.0,9.4,0.5431390245600105,8.9,9.0,9.2,9.7,10.2,0.6999999999999993,7.950000000000001,10.749999999999998
05:28,5.0,9.579999999999998,0.47644516998286335,8.9,9.4,9.7,9.7,10.2,0.29999999999999893,8.950000000000003,10.149999999999999
05:38,5.0,9.82,0.408656334834051,9.4,9.5,9.7,10.2,10.3,0.6999999999999993,8.450000000000001,11.249999999999998
05:48,5.0,10.24,0.6188699378706325,9.7,9.7,10.0,10.8,11.0,1.1000000000000014,8.049999999999997,12.450000000000003
05:58,5.0,10.780000000000001,0.6496152707564686,10.0,10.2,11.0,11.2,11.5,1.0,8.7,12.7
06:08,5.0,11.36,0.49799598391954947,10.5,11.5,11.5,11.5,11.8,0.0,11.5,11.5
06:18,5.0,12.2,0.6284902544988265,11.3,12.0,12.2,12.5,13.0,0.5,11.25,13.25
06:28,5.0,13.2,0.22360679774997896,12.8,13.3,13.3,13.3,13.3,0.0,13.3,13.3
06:38,5.0,14.7,0.7382411530116704,14.1,14.1,14.6,14.8,15.9,0.7000000000000011,13.049999999999997,15.850000000000001
06:48,5.0,16.18,0.4711687595755897,15.4,16.1,16.4,16.4,16.6,0.29999999999999716,15.650000000000006,16.849999999999994
06:58,5.0,17.759999999999998,0.684105255059482,17.3,17.3,17.4,17.9,18.9,0.5999999999999979,16.400000000000006,18.799999999999997
