hour_minute,min,max,mean,median
00:08,20.9,21.9,21.4,21.5
00:18,20.0,21.2,20.5,20.4
00:28,18.9,20.5,19.839999999999996,19.9
00:38,18.2,19.2,18.86,19.1
00:48,17.9,18.2,18.06,18.1
00:58,16.9,17.7,17.28,17.3
01:08,16.1,17.4,16.68,16.9
01:18,15.3,16.6,16.0,15.9
01:28,14.8,15.9,15.280000000000001,15.1
01:38,14.8,15.1,14.959999999999999,15.0
01:48,13.6,14.1,13.88,13.8
01:58,12.8,14.1,13.280000000000001,13.1
02:08,12.3,13.5,13.02,13.0
02:18,11.8,13.0,12.580000000000002,12.8
02:28,11.7,12.8,12.02,11.8
02:38,11.2,12.0,11.64,11.7
02:48,11.0,12.0,11.3,11.2
02:58,10.7,11.8,11.08,11.0
03:08,10.2,11.5,10.66,10.3
03:18,10.2,10.7,10.559999999999999,10.7
03:28,10.0,10.7,10.419999999999998,10.5
03:38,9.7,10.3,9.959999999999999,9.9
03:48,9.2,10.2,9.819999999999999,10.0
03:58,9.4,10.0,9.78,9.9
04:08,9.4,10.2,9.76,9.7
04:18,9.2,9.5,9.3,9.2
04:28,9.0,9.7,9.28,9.2
04:38,8.9,9.5,9.22,9.2
04:48,8.7,10.0,9.379999999999999,9.5
04:58,8.9,9.4,9.18,9.2
05:08,8.7,9.7,9.319999999999999,9.5
05:18,8.9,10.2,9.4,9.2
05:28,8.9,10.2,9.58,9.7
05:38,9.4,10.3,9.82,9.7
05:48,9.7,11.0,10.24,10.0
05:58,10.0,11.5,10.78,11.0
06:08,10.5,11.8,11.36,11.5
06:18,11.3,13.0,12.2,12.2
06:28,12.8,13.3,13.2,13.3
06:38,14.1,15.9,14.7,14.6
06:48,15.4,16.6,16.18,16.4
06:58,17.3,18.9,17.759999999999998,17.4
07:08,19.2,20.4,19.68,19.7
07:18,20.9,21.7,21.3,21.2
07:28,22.5,23.7,23.46,23.7
07:38,25.1,25.6,25.360000000000003,25.3
07:48,26.6,27.8,27.18,27.1
07:58,28.4,29.4,28.72,28.6
08:08,29.4,29.9,29.639999999999997,29.6
08:18,30.1,33.2,31.26,30.4
08:28,29.6,42.1,36.620000000000005,37.6
08:38,29.3,31.1,29.98,29.8
08:48,29.4,29.9,29.76,29.8
08:58,28.8,29.8,29.139999999999997,29.1
09:08,27.3,28.8,28.160000000000004,28.3
09:18,26.3,27.0,26.72,27.0
09:28,25.0,26.8,25.7,25.3
09:38,24.7,25.8,25.32,25.3
09:48,24.8,25.8,25.380000000000003,25.5
09:58,24.0,25.6,24.92,25.1
10:08,23.7,25.8,24.52,24.3
10:18,23.3,25.0,24.259999999999998,24.5
10:28,23.2,25.0,24.119999999999997,24.3
10:38,23.5,25.0,24.259999999999998,24.0
10:48,23.0,24.5,23.580000000000002,23.5
10:58,22.7,24.2,23.52,23.5
11:08,22.5,24.0,23.3,23.3
11:18,21.7,23.3,22.44,22.5
11:28,21.7,23.7,22.439999999999998,22.4
11:38,21.5,23.0,22.080000000000002,21.7
11:48,21.4,22.7,21.88,21.7
11:58,21.2,22.7,21.86,21.9
12:08,21.7,23.7,22.3,22.2
12:18,21.7,22.7,22.1,22.0
12:28,21.4,23.3,22.06,21.9
12:38,21.5,22.4,22.02,22.0
12:48,21.7,23.2,22.36,22.4
12:58,21.2,24.3,22.82,22.4
13:08,22.0,25.0,23.3,22.8
13:18,22.7,23.8,23.259999999999998,23.2
13:28,22.5,24.7,23.3,23.3
13:38,22.5,25.5,23.740000000000002,23.5
13:48,23.7,24.5,23.98,23.8
13:58,24.0,25.8,24.68,24.5
14:08,23.0,25.1,23.759999999999998,23.5
14:18,22.4,24.0,23.04,23.0
14:28,21.7,23.5,22.8,23.0
14:38,21.9,23.0,22.56,22.5
14:48,20.4,22.8,22.2,22.5
14:58,20.0,22.7,21.82,22.5
15:08,19.7,21.7,20.919999999999998,21.5
15:18,19.7,21.7,20.58,20.7
15:28,19.6,21.5,20.52,20.7
15:38,19.4,21.0,20.2,20.2
15:48,19.4,21.4,20.139999999999997,20.0
15:58,19.6,20.4,20.02,20.2
16:08,18.9,20.4,19.759999999999998,19.9
16:18,18.9,20.2,19.54,19.7
16:28,18.9,20.2,19.56,19.6
16:38,18.9,20.2,19.419999999999998,19.2
16:48,18.9,20.4,19.74,19.7
16:58,19.6,20.7,19.98,19.7
17:08,19.7,21.2,20.339999999999996,20.2
17:18,20.2,21.5,20.9,20.9
17:28,20.2,22.4,21.18,21.0
17:38,20.7,22.5,21.580000000000002,21.7
17:48,21.5,22.4,22.0,22.0
17:58,22.2,23.5,22.68,22.5
18:08,22.0,23.7,22.740000000000002,22.5
18:18,23.0,24.0,23.46,23.3
18:28,22.7,24.0,23.34,23.5
18:38,23.5,24.3,23.82,23.8
18:48,23.7,26.0,24.44,24.0
18:58,24.8,26.1,25.42,25.3
19:08,25.8,26.6,26.26,26.5
19:18,25.1,26.5,25.8,26.0
19:28,25.6,27.0,26.28,26.1
19:38,26.1,27.8,26.76,26.5
19:48,26.1,27.3,26.880000000000003,27.1
19:58,26.8,27.9,27.22,27.1
20:08,27.1,28.3,27.660000000000004,27.3
20:18,27.1,28.4,27.639999999999997,27.5
20:28,27.6,28.8,28.1,27.9
20:38,28.1,28.9,28.360000000000003,28.3
20:48,27.8,28.8,28.060000000000002,27.8
20:58,27.9,28.9,28.48,28.6
21:08,28.3,28.9,28.7,28.8
21:18,27.9,29.1,28.7,28.8
21:28,27.9,29.4,28.939999999999998,29.3
21:38,27.8,29.9,29.060000000000002,29.1
21:48,27.6,29.6,29.0,29.3
21:58,27.8,29.6,29.02,29.4
22:08,28.3,29.4,28.939999999999998,29.1
22:18,27.9,29.3,28.619999999999997,28.8
22:28,27.3,29.1,28.439999999999998,28.6
22:38,27.3,28.9,28.24,28.3
22:48,26.6,28.1,27.660000000000004,27.9
22:58,26.6,28.3,27.18,27.1
23:08,25.3,27.1,26.18,26.5
23:18,24.8,26.0,25.52,25.5
23:28,24.5,25.6,24.86,24.7
23:38,23.5,24.0,23.7,23.7
23:41,23.7,23.7,23.7,23.7
23:44,23.3,23.3,23.3,23.3
23:47,23.7,23.7,23.7,23.7
23:48,22.7,23.7,23.1,23.0
23:50,23.8,23.8,23.8,23.8
23:53,23.5,23.7,23.6,23.6
23:54,23.5,23.5,23.5,23.5
23:55,23.7,23.7,23.7,23.7
23:56,23.2,23.2,23.2,23.2
23:57,23.0,23.0,23.0,23.0
23:58,22.0,23.5,22.48,22.4
23:59,23.2,23.2,23.2,23.2
