min,max,mean,median
17.3,21.2,19.25,19.25
13.8,16.9,15.4,15.5
11.2,13.0,11.916666666666666,11.65
9.2,10.7,10.0,10.05
9.0,9.5,9.266666666666667,9.3
8.7,10.2,9.5,9.55
10.5,17.3,13.65,13.7
19.2,28.4,24.083333333333332,24.4
29.1,32.2,30.0,29.65
25.0,28.8,26.116666666666664,25.4
23.2,25.0,24.05,24.15
21.4,23.3,22.316666666666666,22.299999999999997
21.5,22.4,21.95,21.95
22.7,24.0,23.333333333333332,23.4
22.5,23.5,22.866666666666664,22.85
19.6,21.5,20.7,20.799999999999997
19.2,20.2,19.766666666666666,19.799999999999997
20.7,23.5,22.150000000000002,22.4
23.0,25.1,23.78333333333333,23.65
25.1,27.1,26.200000000000003,26.3
27.1,28.3,27.666666666666668,27.8
27.6,28.3,27.883333333333336,27.85
26.6,28.3,27.333333333333332,27.3
23.0,25.3,23.75294117647059,23.7
