min,max,mean,median
20.9,20.9,20.9,20.9
20.0,20.0,20.0,20.0
18.9,18.9,18.9,18.9
18.2,18.2,18.2,18.2
17.9,17.9,17.9,17.9
16.9,16.9,16.9,16.9
16.1,16.1,16.1,16.1
15.3,15.3,15.3,15.3
14.8,14.8,14.8,14.8
14.8,14.8,14.8,14.8
14.1,14.1,14.1,14.1
13.1,13.1,13.1,13.1
12.3,12.3,12.3,12.3
12.8,12.8,12.8,12.8
12.0,12.0,12.0,12.0
11.2,11.2,11.2,11.2
11.0,11.0,11.0,11.0
10.7,10.7,10.7,10.7
11.5,11.5,11.5,11.5
10.7,10.7,10.7,10.7
10.5,10.5,10.5,10.5
9.7,9.7,9.7,9.7
10.0,10.0,10.0,10.0
9.4,9.4,9.4,9.4
10.0,10.0,10.0,10.0
9.2,9.2,9.2,9.2
9.0,9.0,9.0,9.0
8.9,8.9,8.9,8.9
9.5,9.5,9.5,9.5
8.9,8.9,8.9,8.9
9.5,9.5,9.5,9.5
9.7,9.7,9.7,9.7
9.7,9.7,9.7,9.7
10.2,10.2,10.2,10.2
10.8,10.8,10.8,10.8
11.5,11.5,11.5,11.5
11.8,11.8,11.8,11.8
13.0,13.0,13.0,13.0
13.3,13.3,13.3,13.3
14.8,14.8,14.8,14.8
16.6,16.6,16.6,16.6
17.9,17.9,17.9,17.9
19.4,19.4,19.4,19.4
21.7,21.7,21.7,21.7
23.7,23.7,23.7,23.7
25.3,25.3,25.3,25.3
27.3,27.3,27.3,27.3
28.6,28.6,28.6,28.6
29.6,29.6,29.6,29.6
33.2,33.2,33.2,33.2
41.6,41.6,41.6,41.6
31.1,31.1,31.1,31.1
29.8,29.8,29.8,29.8
28.8,28.8,28.8,28.8
27.8,27.8,27.8,27.8
26.3,26.3,26.3,26.3
25.0,25.0,25.0,25.0
24.7,24.7,24.7,24.7
24.8,24.8,24.8,24.8
24.0,24.0,24.0,24.0
23.7,23.7,23.7,23.7
23.3,23.3,23.3,23.3
23.8,23.8,23.8,23.8
23.5,23.5,23.5,23.5
23.0,23.0,23.0,23.0
22.7,22.7,22.7,22.7
22.5,22.5,22.5,22.5
21.7,21.7,21.7,21.7
21.7,21.7,21.7,21.7
21.5,21.5,21.5,21.5
22.2,22.2,22.2,22.2
21.5,21.5,21.5,21.5
21.7,21.7,21.7,21.7
22.0,22.0,22.0,22.0
22.2,22.2,22.2,22.2
22.0,22.0,22.0,22.0
21.7,21.7,21.7,21.7
21.2,21.2,21.2,21.2
22.8,22.8,22.8,22.8
22.7,22.7,22.7,22.7
22.5,22.5,22.5,22.5
22.5,22.5,22.5,22.5
24.2,24.2,24.2,24.2
24.3,24.3,24.3,24.3
23.0,23.0,23.0,23.0
22.4,22.4,22.4,22.4
21.7,21.7,21.7,21.7
21.9,21.9,21.9,21.9
20.4,20.4,20.4,20.4
20.0,20.0,20.0,20.0
19.7,19.7,19.7,19.7
19.9,19.9,19.9,19.9
19.6,19.6,19.6,19.6
19.7,19.7,19.7,19.7
19.4,19.4,19.4,19.4
20.2,20.2,20.2,20.2
20.2,20.2,20.2,20.2
18.9,18.9,18.9,18.9
19.9,19.9,19.9,19.9
19.2,19.2,19.2,19.2
19.7,19.7,19.7,19.7
19.7,19.7,19.7,19.7
19.9,19.9,19.9,19.9
20.9,20.9,20.9,20.9
20.2,20.2,20.2,20.2
20.7,20.7,20.7,20.7
21.5,21.5,21.5,21.5
22.5,22.5,22.5,22.5
22.5,22.5,22.5,22.5
23.3,23.3,23.3,23.3
22.7,22.7,22.7,22.7
23.5,23.5,23.5,23.5
24.0,24.0,24.0,24.0
24.8,24.8,24.8,24.8
26.5,26.5,26.5,26.5
26.5,26.5,26.5,26.5
26.6,26.6,26.6,26.6
27.1,27.1,27.1,27.1
27.3,27.3,27.3,27.3
27.3,27.3,27.3,27.3
28.3,28.3,28.3,28.3
27.9,27.9,27.9,27.9
28.4,28.4,28.4,28.4
28.1,28.1,28.1,28.1
27.8,27.8,27.8,27.8
28.9,28.9,28.9,28.9
28.8,28.8,28.8,28.8
28.8,28.8,28.8,28.8
28.8,28.8,28.8,28.8
29.9,29.9,29.9,29.9
29.4,29.4,29.4,29.4
29.4,29.4,29.4,29.4
29.1,29.1,29.1,29.1
28.3,28.3,28.3,28.3
28.9,28.9,28.9,28.9
28.3,28.3,28.3,28.3
27.9,27.9,27.9,27.9
28.3,28.3,28.3,28.3
27.1,27.1,27.1,27.1
25.5,25.5,25.5,25.5
24.5,24.5,24.5,24.5
23.5,23.5,23.5,23.5
23.0,23.0,23.0,23.0
22.5,22.5,22.5,22.5
